Config,Model,Variable,Value
central,1,constant,491.2747446
central,1,reduction_to_t1,0.877495635
central,1,price,1.053337152
central,2,constant,1.829845752
central,2,reduction_to_t1,0.609141015
central,2,price,0.278261714
95pc_lower,1,constant,396.4298108
95pc_lower,1,reduction_to_t1,0.845872482
95pc_lower,1,price,0.524926912
95pc_lower,2,constant,1.681658683
95pc_lower,2,reduction_to_t1,0.58571894
95pc_lower,2,price,0.244499826
stde_lower,1,constant,443.1870244
stde_lower,1,reduction_to_t1,0.86146225
stde_lower,1,price,0.785425701
stde_lower,2,constant,1.754712816
stde_lower,2,reduction_to_t1,0.597265693
stde_lower,2,price,0.261143961
95pc_upper,1,constant,586.1196785
95pc_upper,1,reduction_to_t1,0.909118789
95pc_upper,1,price,1.581747392
95pc_upper,2,constant,1.978032821
95pc_upper,2,reduction_to_t1,0.63256309
95pc_upper,2,price,0.312023602
stde_upper,1,constant,539.3624649
stde_upper,1,reduction_to_t1,0.89352902
stde_upper,1,price,1.321248602
stde_upper,2,constant,1.904978688
stde_upper,2,reduction_to_t1,0.621016338
stde_upper,2,price,0.295379468
std_error,1,constant,48.08772024
std_error,1,reduction_to_t1,0.016033385
std_error,1,price,0.267911451
std_error,2,constant,0.075132936
std_error,2,reduction_to_t1,0.011875323
std_error,2,price,0.017117754
